index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,currency_map,Revenue,Transaction_Type
0,536365,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12/1/2010 8:26",2.55,17850,"United Kingdom",£,15.299999999999999,Sales
1,536365,71053,"WHITE METAL LANTERN",6,"12/1/2010 8:26",3.39,17850,"United Kingdom",£,20.34,Sales
2,536365,84406B,"CREAM CUPID HEARTS COAT HANGER",8,"12/1/2010 8:26",2.75,17850,"United Kingdom",£,22,Sales
3,536365,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 8:26",3.39,17850,"United Kingdom",£,20.34,Sales
4,536365,84029E,"RED WOOLLY HOTTIE WHITE HEART.",6,"12/1/2010 8:26",3.39,17850,"United Kingdom",£,20.34,Sales
5,536365,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12/1/2010 8:26",7.65,17850,"United Kingdom",£,15.3,Sales
6,536365,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12/1/2010 8:26",4.25,17850,"United Kingdom",£,25.5,Sales
7,536366,22633,"HAND WARMER UNION JACK",6,"12/1/2010 8:28",1.85,17850,"United Kingdom",£,11.100000000000001,Sales
8,536366,22632,"HAND WARMER RED POLKA DOT",6,"12/1/2010 8:28",1.85,17850,"United Kingdom",£,11.100000000000001,Sales
9,536367,84879,"ASSORTED COLOUR BIRD ORNAMENT",32,"12/1/2010 8:34",1.69,13047,"United Kingdom",£,54.08,Sales
10,536367,22745,"POPPY'S PLAYHOUSE BEDROOM ",6,"12/1/2010 8:34",2.1,13047,"United Kingdom",£,12.600000000000001,Sales
11,536367,22748,"POPPY'S PLAYHOUSE KITCHEN",6,"12/1/2010 8:34",2.1,13047,"United Kingdom",£,12.600000000000001,Sales
12,536367,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",8,"12/1/2010 8:34",3.75,13047,"United Kingdom",£,30,Sales
13,536367,22310,"IVORY KNITTED MUG COSY ",6,"12/1/2010 8:34",1.65,13047,"United Kingdom",£,9.899999999999999,Sales
14,536367,84969,"BOX OF 6 ASSORTED COLOUR TEASPOONS",6,"12/1/2010 8:34",4.25,13047,"United Kingdom",£,25.5,Sales
15,536367,22623,"BOX OF VINTAGE JIGSAW BLOCKS ",3,"12/1/2010 8:34",4.95,13047,"United Kingdom",£,14.850000000000001,Sales
16,536367,22622,"BOX OF VINTAGE ALPHABET BLOCKS",2,"12/1/2010 8:34",9.95,13047,"United Kingdom",£,19.9,Sales
17,536367,21754,"HOME BUILDING BLOCK WORD",3,"12/1/2010 8:34",5.95,13047,"United Kingdom",£,17.85,Sales
18,536367,21755,"LOVE BUILDING BLOCK WORD",3,"12/1/2010 8:34",5.95,13047,"United Kingdom",£,17.85,Sales
19,536367,21777,"RECIPE BOX WITH METAL HEART",4,"12/1/2010 8:34",7.95,13047,"United Kingdom",£,31.8,Sales
20,536367,48187,"DOORMAT NEW ENGLAND",4,"12/1/2010 8:34",7.95,13047,"United Kingdom",£,31.8,Sales
21,536368,22960,"JAM MAKING SET WITH JARS",6,"12/1/2010 8:34",4.25,13047,"United Kingdom",£,25.5,Sales
22,536368,22913,"RED COAT RACK PARIS FASHION",3,"12/1/2010 8:34",4.95,13047,"United Kingdom",£,14.850000000000001,Sales
23,536368,22912,"YELLOW COAT RACK PARIS FASHION",3,"12/1/2010 8:34",4.95,13047,"United Kingdom",£,14.850000000000001,Sales
24,536368,22914,"BLUE COAT RACK PARIS FASHION",3,"12/1/2010 8:34",4.95,13047,"United Kingdom",£,14.850000000000001,Sales
25,536369,21756,"BATH BUILDING BLOCK WORD",3,"12/1/2010 8:35",5.95,13047,"United Kingdom",£,17.85,Sales
26,536370,22728,"ALARM CLOCK BAKELIKE PINK",24,"12/1/2010 8:45",3.75,12583,France,€,90,Sales
27,536370,22727,"ALARM CLOCK BAKELIKE RED ",24,"12/1/2010 8:45",3.75,12583,France,€,90,Sales
28,536370,22726,"ALARM CLOCK BAKELIKE GREEN",12,"12/1/2010 8:45",3.75,12583,France,€,45,Sales
29,536370,21724,"PANDA AND BUNNIES STICKER SHEET",12,"12/1/2010 8:45",0.85,12583,France,€,10.2,Sales
30,536370,21883,"STARS GIFT TAPE ",24,"12/1/2010 8:45",0.65,12583,France,€,15.600000000000001,Sales
31,536370,10002,"INFLATABLE POLITICAL GLOBE ",48,"12/1/2010 8:45",0.85,12583,France,€,40.8,Sales
32,536370,21791,"VINTAGE HEADS AND TAILS CARD GAME ",24,"12/1/2010 8:45",1.25,12583,France,€,30,Sales
33,536370,21035,"SET/2 RED RETROSPOT TEA TOWELS ",18,"12/1/2010 8:45",2.95,12583,France,€,53.1,Sales
34,536370,22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",24,"12/1/2010 8:45",2.95,12583,France,€,70.80000000000001,Sales
35,536370,22629,"SPACEBOY LUNCH BOX ",24,"12/1/2010 8:45",1.95,12583,France,€,46.8,Sales
36,536370,22659,"LUNCH BOX I LOVE LONDON",24,"12/1/2010 8:45",1.95,12583,France,€,46.8,Sales
37,536370,22631,"CIRCUS PARADE LUNCH BOX ",24,"12/1/2010 8:45",1.95,12583,France,€,46.8,Sales
38,536370,22661,"CHARLOTTE BAG DOLLY GIRL DESIGN",20,"12/1/2010 8:45",0.85,12583,France,€,17,Sales
39,536370,21731,"RED TOADSTOOL LED NIGHT LIGHT",24,"12/1/2010 8:45",1.65,12583,France,€,39.599999999999994,Sales
40,536370,22900," SET 2 TEA TOWELS I LOVE LONDON ",24,"12/1/2010 8:45",2.95,12583,France,€,70.80000000000001,Sales
41,536370,21913,"VINTAGE SEASIDE JIGSAW PUZZLES",12,"12/1/2010 8:45",3.75,12583,France,€,45,Sales
42,536370,22540,"MINI JIGSAW CIRCUS PARADE ",24,"12/1/2010 8:45",0.42,12583,France,€,10.08,Sales
43,536370,22544,"MINI JIGSAW SPACEBOY",24,"12/1/2010 8:45",0.42,12583,France,€,10.08,Sales
44,536370,22492,"MINI PAINT SET VINTAGE ",36,"12/1/2010 8:45",0.65,12583,France,€,23.400000000000002,Sales
45,536370,POST,POSTAGE,3,"12/1/2010 8:45",18,12583,France,€,54,Sales
46,536371,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",80,"12/1/2010 9:00",2.55,13748,"United Kingdom",£,204,Sales
47,536372,22632,"HAND WARMER RED POLKA DOT",6,"12/1/2010 9:01",1.85,17850,"United Kingdom",£,11.100000000000001,Sales
48,536372,22633,"HAND WARMER UNION JACK",6,"12/1/2010 9:01",1.85,17850,"United Kingdom",£,11.100000000000001,Sales
49,536373,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12/1/2010 9:02",2.55,17850,"United Kingdom",£,15.299999999999999,Sales
50,536373,71053,"WHITE METAL LANTERN",6,"12/1/2010 9:02",3.39,17850,"United Kingdom",£,20.34,Sales
51,536373,84406B,"CREAM CUPID HEARTS COAT HANGER",8,"12/1/2010 9:02",2.75,17850,"United Kingdom",£,22,Sales
52,536373,20679,"EDWARDIAN PARASOL RED",6,"12/1/2010 9:02",4.95,17850,"United Kingdom",£,29.700000000000003,Sales
53,536373,37370,"RETRO COFFEE MUGS ASSORTED",6,"12/1/2010 9:02",1.06,17850,"United Kingdom",£,6.36,Sales
54,536373,21871,"SAVE THE PLANET MUG",6,"12/1/2010 9:02",1.06,17850,"United Kingdom",£,6.36,Sales
55,536373,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12/1/2010 9:02",1.06,17850,"United Kingdom",£,6.36,Sales
56,536373,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12/1/2010 9:02",1.06,17850,"United Kingdom",£,6.36,Sales
57,536373,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",2,"12/1/2010 9:02",4.95,17850,"United Kingdom",£,9.9,Sales
58,536373,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12/1/2010 9:02",6.95,17850,"United Kingdom",£,27.8,Sales
59,536373,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12/1/2010 9:02",2.1,17850,"United Kingdom",£,12.600000000000001,Sales
60,536373,82494L,"WOODEN FRAME ANTIQUE WHITE ",6,"12/1/2010 9:02",2.55,17850,"United Kingdom",£,15.299999999999999,Sales
61,536373,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 9:02",3.39,17850,"United Kingdom",£,20.34,Sales
62,536373,84029E,"RED WOOLLY HOTTIE WHITE HEART.",6,"12/1/2010 9:02",3.39,17850,"United Kingdom",£,20.34,Sales
63,536373,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12/1/2010 9:02",7.65,17850,"United Kingdom",£,15.3,Sales
64,536373,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12/1/2010 9:02",4.25,17850,"United Kingdom",£,25.5,Sales
65,536374,21258,"VICTORIAN SEWING BOX LARGE",32,"12/1/2010 9:09",10.95,15100,"United Kingdom",£,350.4,Sales
66,536375,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12/1/2010 9:32",2.55,17850,"United Kingdom",£,15.299999999999999,Sales
67,536375,71053,"WHITE METAL LANTERN",6,"12/1/2010 9:32",3.39,17850,"United Kingdom",£,20.34,Sales
68,536375,84406B,"CREAM CUPID HEARTS COAT HANGER",8,"12/1/2010 9:32",2.75,17850,"United Kingdom",£,22,Sales
69,536375,20679,"EDWARDIAN PARASOL RED",6,"12/1/2010 9:32",4.95,17850,"United Kingdom",£,29.700000000000003,Sales
70,536375,37370,"RETRO COFFEE MUGS ASSORTED",6,"12/1/2010 9:32",1.06,17850,"United Kingdom",£,6.36,Sales
71,536375,21871,"SAVE THE PLANET MUG",6,"12/1/2010 9:32",1.06,17850,"United Kingdom",£,6.36,Sales
72,536375,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12/1/2010 9:32",1.06,17850,"United Kingdom",£,6.36,Sales
73,536375,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12/1/2010 9:32",1.06,17850,"United Kingdom",£,6.36,Sales
74,536375,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",2,"12/1/2010 9:32",4.95,17850,"United Kingdom",£,9.9,Sales
75,536375,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12/1/2010 9:32",6.95,17850,"United Kingdom",£,27.8,Sales
76,536375,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12/1/2010 9:32",2.1,17850,"United Kingdom",£,12.600000000000001,Sales
77,536375,82494L,"WOODEN FRAME ANTIQUE WHITE ",6,"12/1/2010 9:32",2.55,17850,"United Kingdom",£,15.299999999999999,Sales
78,536375,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 9:32",3.39,17850,"United Kingdom",£,20.34,Sales
79,536375,84029E,"RED WOOLLY HOTTIE WHITE HEART.",6,"12/1/2010 9:32",3.39,17850,"United Kingdom",£,20.34,Sales
80,536375,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12/1/2010 9:32",7.65,17850,"United Kingdom",£,15.3,Sales
81,536375,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12/1/2010 9:32",4.25,17850,"United Kingdom",£,25.5,Sales
82,536376,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",48,"12/1/2010 9:32",3.45,15291,"United Kingdom",£,165.60000000000002,Sales
83,536376,21733,"RED HANGING HEART T-LIGHT HOLDER",64,"12/1/2010 9:32",2.55,15291,"United Kingdom",£,163.2,Sales
84,536377,22632,"HAND WARMER RED POLKA DOT",6,"12/1/2010 9:34",1.85,17850,"United Kingdom",£,11.100000000000001,Sales
85,536377,22633,"HAND WARMER UNION JACK",6,"12/1/2010 9:34",1.85,17850,"United Kingdom",£,11.100000000000001,Sales
86,536378,22386,"JUMBO BAG PINK POLKADOT",10,"12/1/2010 9:37",1.95,14688,"United Kingdom",£,19.5,Sales
87,536378,85099C,"JUMBO  BAG BAROQUE BLACK WHITE",10,"12/1/2010 9:37",1.95,14688,"United Kingdom",£,19.5,Sales
88,536378,21033,"JUMBO BAG CHARLIE AND LOLA TOYS",10,"12/1/2010 9:37",2.95,14688,"United Kingdom",£,29.5,Sales
89,536378,20723,"STRAWBERRY CHARLOTTE BAG",10,"12/1/2010 9:37",0.85,14688,"United Kingdom",£,8.5,Sales
90,536378,84997B,"RED 3 PIECE RETROSPOT CUTLERY SET",12,"12/1/2010 9:37",3.75,14688,"United Kingdom",£,45,Sales
